CpG_id	Symbol	Description
cg10256052	CPSF4	cleavage and polyadenylation specific factor 4; 30kD subunit
cg10257049	C5orf4	hypothetical protein LOC10826 isoform 2
cg10261191	MGC39545	hypothetical protein LOC403312
cg10261589	LOC133308	hypothetical protein LOC133308
cg10262425	PGLS	6-phosphogluconolactonase
cg10264187	SLC39A13	solute carrier family 39 (zinc transporter); member 13
cg10265786	DOM3Z	DOM-3 homolog Z
cg10266068	PGPEP1	pyroglutamyl-peptidase I
cg10266188	TXLNA	taxilin
cg10266490	ACOT11	thioesterase; adipose associated isoform BFIT1
cg10269439	IL1F7	interleukin 1 family; member 7 isoform 1 proprotein
cg10271717	C20orf14	U5 snRNP-associated 102 kDa protein
cg10272885	SNAPAP	SNAP-associated protein
cg10273210	TRIM59	tripartite motif-containing 59
cg10274502	SPEN	spen homolog; transcriptional regulator
cg10274830	C6orf96	hypothetical protein LOC55005
cg10274908	RASA4	RAS p21 protein activator 4
cg10275770	ICAM2	intercellular adhesion molecule 2 precursor
cg10276549	GABRE	gamma-aminobutyric acid (GABA) A receptor; epsilon isoform 1 precursor
cg10276576	C11orf24	hypothetical protein LOC53838
cg10277146	SPAST	spastin isoform 1
cg10277195	MDC1	mediator of DNA damage checkpoint 1
cg10277781	CNIH	cornichon-like isoform 1
cg10279685	NPHP1	nephrocystin isoform 1
cg10280342	PSPN	persephin precursor
cg10281002	TBX5	T-box 5 isoform 2
cg10281478	DYNC1I1	dynein; cytoplasmic; intermediate polypeptide 1
cg10281770	WDR45L	WDR45-like
cg10282491	CLDN9	claudin 9
cg10283277	SNF1LK2	SNF1-like kinase 2
cg10287137	P2RY2	purinergic receptor P2Y2
cg10289190	GRHPR	glyoxylate reductase/hydroxypyruvate reductase
cg10289912	ZNRF2	zinc finger/RING finger 2
cg10290730	ATP2B3	plasma membrane calcium ATPase 3 isoform 3a
cg10293925	AMPH	amphiphysin isoform 1
cg10294200	C12orf30	hypothetical protein LOC80018
cg10294797	MAP3K9	mitogen-activated protein kinase kinase kinase 9
cg10294836	DYRK1B	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B isoform a
cg10296238	C21orf56	hypothetical protein LOC84221
cg10298205	NAPRT1	nicotinate phosphoribosyltransferase domain containing 1
cg10298815	GPR88	G-protein coupled receptor 88
cg10299667	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter); member 10
cg10300154	MGC5297	hypothetical protein LOC79072
cg10300684	FOXG1B	forkhead box G1B
cg10301967	RPS18	ribosomal protein S18
cg10301990	UBXD6	reproduction 8
cg10302026	STRN4	zinedin
cg10303487	DPYS	dihydropyrimidinase
cg10303842	CDH12	cadherin 12; type 2 preproprotein
cg10305797	UNQ467	hypothetical protein LOC388533
cg10307548	SOD3	superoxide dismutase 3; extracellular
cg10309835	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
cg10313093	TPARL	TPA regulated locus
cg10313633	TP53I11	p53-induced protein
cg10313673	CILP2	cartilage intermediate layer protein 2
cg10313675	C1orf74	hypothetical protein LOC148304
cg10314752	KIAA1622	HEAT-like repeat-containing protein isoform 2
cg10315128	SMAD4	MAD; mothers against decapentaplegic homolog 4
cg10315334	CCL5	small inducible cytokine A5 precursor
cg10316381	SNX10	sorting nexin 10
cg10316635	INADL	InaD-like protein isoform 3
cg10316764	TAOK2	TAO kinase 2 isoform 1
cg10318258	RIPK3	receptor-interacting serine-threonine kinase 3
cg10318351	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like
cg10318443	RNMTL1	RNA methyltransferase like 1
cg10319505	RASEF	RAS and EF hand domain containing
cg10321196	SLC25A5	solute carrier family 25; member 5
cg10321208	CPT2	carnitine palmitoyltransferase II
cg10321723	PDZK1	PDZ domain containing 1
cg10322308	PARS2	prolyl-tRNA synthetase (mitochondrial)(putative)
cg10322876	CYP2B6	cytochrome P450; family 2; subfamily B; polypeptide 6
cg10324224	TTC13	tetratricopeptide repeat domain 13
cg10326447	NRGN	neurogranin
cg10328462	GRPEL2	GrpE-like 2; mitochondrial
cg10328573	KRT9	keratin 9
cg10329418	PON3	paraoxonase 3
cg10331038	TNR	tenascin R (restrictin; janusin)
cg10331048	MRPL11	mitochondrial ribosomal protein L11 isoform a
cg10331779	CTNND2	catenin (cadherin-associated protein); delta 2 (neural plakophilin-related arm-repeat protein)
cg10332700	ZNF415	zinc finger protein 415
cg10333959	MGMT	O-6-methylguanine-DNA methyltransferase
cg10334385	FLJ25143	hypothetical protein LOC130813
cg10334928	STON2	stonin 2
cg10335112	ODF3	sperm tail protein SHIPPO1
cg10335931	MYBPC3	protein C; cardiac
cg10337772	KIAA1143	hypothetical protein LOC57456
cg10337819	LTB4R2	leukotriene B4 receptor 2
cg10338338	SLC2A3	solute carrier family 2 (facilitated glucose transporter); member 3
cg10339201	F9	coagulation factor IX
cg10342590	MRPL49	mitochondrial ribosomal protein L49
cg10343901	RAB6A	RAB6A; member RAS oncogene family isoform b
cg10345936	SLC36A2	solute carrier family 36 (proton/amino acid symporter); member 2
cg10346242	ARF3	ADP-ribosylation factor 3
cg10347418	ZNF436	zinc finger protein 436
cg10347998	GSK3B	glycogen synthase kinase 3 beta
cg10348643	C1orf198	hypothetical protein LOC84886
cg10348863	ING2	inhibitor of growth family; member 1-like
cg10349665	NSDHL	NAD(P) dependent steroid dehydrogenase-like
cg10353436	EIF4A1	eukaryotic translation initiation factor 4A; isoform 1
cg10353870	BIN1	bridging integrator 1 isoform 8
cg10356060	DNAJC18	DnaJ (Hsp40) homolog; subfamily C; member 18
cg10356463	ITIH1	inter-alpha (globulin) inhibitor H1
cg10358212	ASCIZ	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein
cg10361696	FAM109A	hypothetical protein LOC144717
cg10362426	C1orf83	hypothetical protein LOC127428
cg10362475	SHANK2	SH3 and multiple ankyrin repeat domains 2 isoform 1
cg10362591	SLC6A2	solute carrier family 6 member 2
cg10364182	LOC119710	hypothetical protein LOC119710
cg10364513	RXRG	retinoid X receptor; gamma isoform a
cg10365880	PKD2L1	polycystic kidney disease 2-like 1
cg10367730	PRDX3	peroxiredoxin 3 isoform b
cg10368842	C10orf81	hypothetical protein LOC79949
cg10368981	DPYSL2	dihydropyrimidinase-like 2
cg10370591	TPO	thyroid peroxidase isoform a
cg10371914	C8orf34	hypothetical protein LOC116328
cg10373645	DUSP11	dual specificity phosphatase 11
cg10375110	CHRNA9	cholinergic receptor; nicotinic; alpha 9 precursor
cg10375802	C1orf57	hypothetical protein LOC84284
cg10376763	TNP1	transition protein 1 (during histone to protamine replacement)
cg10377211	SMBP	endomembrane protein emp70 precursor isolog
cg10377274	PATE	expressed in prostate and testis
cg10377451	RAB33B	RAB33B; member RAS oncogene family
cg10377764	RAD52	RAD52 homolog isoform alpha
cg10379112	LOC57146	promethin
cg10379687	SPINLW1	serine peptidase inhibitor-like; with Kunitz and WAP domains 1 isoform 2
cg10383428	CNAP1	chromosome condensation-related SMC-associated protein 1
cg10383839	LAPTM4A	lysosomal-associated protein transmembrane 4 alpha
cg10384134	RPS9	ribosomal protein S9
cg10387416	TATDN2	TatD DNase domain containing 2
cg10387901	MRPS25	mitochondrial ribosomal protein S25
cg10390922	BCAS3	breast carcinoma amplified sequence 3
cg10391629	AKAP11	A-kinase anchor protein 11 isoform 1
cg10392768	ALOXE3	arachidonate lipoxygenase 3
cg10394139	CRLF3	cytokine receptor-like factor 3
cg10394385	ERBB2	erbB-2 isoform a
cg10396357	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)
cg10396470	NUP107	nucleoporin 107kDa
cg10398682	BNC1	basonuclin 1
cg10398950	CRKRS	CDC2-related protein kinase 7
cg10399228	RAG1	recombination activating gene 1
cg10399369	CABC1	chaperone; ABC1 activity of bc1 complex like
cg10401088	LUM	lumican precursor
cg10401803	TAF1	TBP-associated factor 1 isoform 1
cg10402626	RPS5	ribosomal protein S5
cg10403260	PHF21A	BRAF35/HDAC2 complex
cg10404950	ALKBH8	hypothetical protein LOC91801
cg10408410	RLBP1	retinaldehyde binding protein 1
cg10409560	FLJ23657	hypothetical protein LOC152816
cg10409680	HLA-C	major histocompatibility complex; class I; C precursor
cg10409799	ADAR	adenosine deaminase; RNA-specific isoform a
cg10412312	FLJ36004	hypothetical protein FLJ36004
cg10413342	MRPL21	mitochondrial ribosomal protein L21 isoform b
cg10414058	HDAC3	histone deacetylase 3
cg10414946	MS4A2	membrane-spanning 4-domains; subfamily A; member 2
cg10415235	COX8A	cytochrome c oxidase subunit 8A
cg10417559	LMO6	LIM domain only 6
cg10421192	CTAGE1	cutaneous T-cell lymphoma-associated antigen 1 isoform 2
cg10421561	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family; member B
cg10423227	AFTIPHILIN	aftiphilin protein isoform c
cg10423830	PGEA1	PKD2 interactor; golgi and endoplasmic reticulum associated 1 isoform a
cg10423860	CST5	cystatin D precursor
cg10426652	WDR75	WD repeat domain 75
cg10429262	GPR157	G protein-coupled receptor 157
cg10430690	KALRN	kalirin; RhoGEF kinase isoform 3
cg10431340	MPZ	myelin protein zero
cg10432177	BIK	BCL2-interacting killer
cg10432620	FA2H	fatty acid 2-hydroxylase
cg10432859	UGT1A7	UDP glycosyltransferase 1 family; polypeptide A7 precursor
cg10435003	MSH5	mutS homolog 5 isoform c
cg10441365	SAR1B	SAR1a gene homolog 2
cg10442358	HRBL	HIV-1 Rev-binding protein-like protein
cg10444350	SFRS1	splicing factor; arginine/serine-rich 1 (splicing factor 2; alternate splicing factor)
cg10446968	SLC25A12	solute carrier family 25 (mitochondrial carrier; Aralar); member 12
cg10447080	FILIP1	filamin A interacting protein 1
cg10448528	ZNF202	zinc finger protein 202
cg10449070	ALDH2	mitochondrial aldehyde dehydrogenase 2 precursor
cg10450322	CDKN2C	cyclin-dependent kinase inhibitor 2C
cg10451401	RAC1	ras-related C3 botulinum toxin substrate 1 isoform Rac1b
cg10451565	GPR77	G protein-coupled receptor C5L2
cg10452522	LSM14A	hypothetical protein LOC26065
cg10453040	TMEM68	transmembrane protein 68
cg10453365	RHCG	Rhesus blood group; C glycoprotein
cg10453758	ACAD11	putative acyl-CoA dehydrogenase
cg10454268	STX3A	syntaxin 3A
cg10455133	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog
cg10455676	MTIF2	mitochondrial translational initiation factor 2 precursor
cg10457247	PRDM14	PR domain containing 14
cg10457895	RSRC1	arginine/serine-rich coiled-coil 1
cg10458581	QP-C	low molecular mass ubiquinone-binding protein
cg10458876	PSKH1	protein serine kinase H1
cg10459515	BCLAF1	BCL2-associated transcription factor 1
cg10464585	CNOT2	CCR4-NOT transcription complex; subunit 2
cg10464775	LAMP1	lysosomal-associated membrane protein 1
cg10465696	ROBO4	roundabout homolog 4; magic roundabout
cg10466917	TRY1	trypsin X3
cg10467022	CALCA	calcitonin isoform CALCA preproprotein
cg10467098	Bles03	basophilic leukemia expressed protein BLES03
cg10467681	ANAPC2	anaphase-promoting complex subunit 2
cg10468369	DDX19B	DEAD (Asp-Glu-Ala-As) box polypeptide 19 isoform 1
cg10468702	PTGER1	prostaglandin E receptor 1; subtype EP1
cg10473004	CPNE3	copine III
cg10474368	SPCS2	signal peptidase complex subunit 2 homolog
cg10475433	FLJ11171	hypothetical protein LOC55783
cg10477754	PPRC1	PGC-1 related co-activator
cg10478221	WFIKKN1	WAP; follistatin/kazal; immunoglobulin; kunitz and netrin domain containing 1 precursor
cg10479325	MGC33302	hypothetical protein LOC256471
cg10479672	IL1F8	interleukin 1 family; member 8 isoform 1
cg10480741	PPP5C	protein phosphatase 5; catalytic subunit
cg10481417	CYP1A1	cytochrome P450; family 1; subfamily A; polypeptide 1
cg10481740	LETM1	leucine zipper-EF-hand containing transmembrane protein 1
cg10482024	AK3L1	adenylate kinase 3-like 1
cg10482750	NRD1	nardilysin (N-arginine dibasic convertase)
cg10484450	FLJ33387	hypothetical protein LOC161145
cg10484485	KIAA0922	KIAA0922 protein
cg10484958	PCDH8	protocadherin 8 isoform 2 precursor
cg10485472	TMEM68	transmembrane protein 68
cg10485724	PMS2	PMS2 postmeiotic segregation increased 2 isoform a
cg10486998	GALR1	galanin receptor 1
cg10487127	ATXN1	ataxin 1
cg10488141	SUFU	suppressor of fused
cg10488185	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5
cg10488476	ITGA3	integrin alpha 3 isoform a precursor
cg10488637	ZNF180	zinc finger protein 180 (HHZ168)
cg10490064	CRYBB2	crystallin; beta B2
cg10490196	TPCN2	two pore segment channel 2
cg10491648	WDR54	WD repeat domain 54
cg10493166	PTGS1	prostaglandin-endoperoxide synthase 1 isoform 1 precursor
cg10493739	TMEM38B	transmembrane protein 38B
cg10494770	IGLL1	immunoglobulin lambda-like polypeptide 1 isoform a precursor
cg10494773	SRP54	signal recognition particle 54kDa
cg10497569	RAB23	Ras-related protein Rab-23
cg10498097	MGC50811	hypothetical protein LOC375307
cg10498963	GALK1	galactokinase 1
cg10500167	ATP2B2	plasma membrane calcium ATPase 2 isoform b
cg10500283	UTS2	urotensin 2 preproprotein; isoform a
cg10500716	WDR77	methylosome protein 50
cg10500909	CYP11B2	cytochrome P450; subfamily XIB polypeptide 2 precursor
cg10501065	IGF2AS	insulin-like growth factor 2 antisense
cg10501128	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
cg10501629	ATP2B1	plasma membrane calcium ATPase 1 isoform 1b
cg10503138	CNTN4	contactin 4 isoform a precursor
cg10503232	KCNQ1DN	KCNQ1 downstream neighbor
cg10503234	FSTL3	follistatin-like 3  glycoprotein
cg10506212	GGCX	gamma-glutamyl carboxylase
cg10506318	mimitin	Myc-induced mitochondria protein
cg10507231	PIK3C2B	phosphoinositide-3-kinase; class 2; beta polypeptide
cg10507961	MGC34732	hypothetical protein LOC220047
cg10515956	MCOLN3	mucolipin 3
cg10516359	SLC35C1	solute carrier family 35; member C1
cg10516886	CD53	CD53 antigen
cg10517312	RNF36	ring finger protein 36 isoform b
cg10519140	SLC29A1	solute carrier family 29 (nucleoside transporters); member 1
cg10520594	NT5C	5 ;3prime-nucleotidase; cytosolic
cg10520887	UNC5C	unc5C
cg10521267	ZNF684	zinc finger protein 684
cg10521852	EDG4	endothelial differentiation; lysophosphatidic acid G-protein-coupled receptor; 4
cg10523019	RHBDD1	hypothetical protein LOC84236
cg10523494	CD300LB	triggering receptor expressed on myeloid cells 5
cg10523671	SLC15A2	solute carrier family 15 (H+/peptide transporter); member 2
cg10523820	ZDHHC24	zinc finger; DHHC domain containing 24
cg10524192	OPRS1	opioid receptor; sigma 1 isoform 1
cg10524983	GYG1	glycogenin
cg10525372	WISP3	WNT1 inducible signaling pathway protein 3 isoform 1
cg10525488	FLJ39370	hypothetical protein LOC132720
cg10526232	ZNF688	zinc finger protein 688 isoform a
cg10526888	DKFZp564K142	implantation-associated protein
cg10527457	ECT2	epithelial cell transforming sequence 2 oncogene protein
cg10528989	BDKRB1	bradykinin receptor B1
cg10530281	TBX3	T-box 3 protein isoform 1
cg10530713	GAGE4	G antigen 4
cg10530733	GPR173	G-protein coupled receptor 173
cg10531372	FAM71A	hypothetical protein LOC149647
cg10533434	SERPINB3	serine (or cysteine) proteinase inhibitor; clade B (ovalbumin); member 3
cg10533739	RAP2B	RAP2B; member of RAS oncogene family
cg10534672	C1QTNF2	C1q and tumor necrosis factor related protein 2
cg10536534	MCTS1	malignant T cell amplified sequence 1
cg10536625	IFT140	intraflagellar transport 140
cg10536916	HIST1H4L	H4 histone family; member K
cg10537079	OTC	ornithine carbamoyltransferase precursor
cg10537269	TIMM9	translocase of inner mitochondrial membrane 9 homolog
cg10539418	CCND1	cyclin D1
cg10539507	NKX6-1	NK6 transcription factor related; locus 1
cg10539712	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
cg10539808	KCTD1	potassium channel tetramerisation domain containing 1
cg10541755	EIF5A2	eIF-5A2 protein
cg10541994	TMEM30A	transmembrane protein 30A
cg10544564	IGSF4B	immunoglobulin superfamily; member 4B
cg10545682	TUFT1	tuftelin 1
cg10546523	SEMA3B	semaphorin 3B isoform 2 precursor
cg10548277	MED8	mediator of RNA polymerase II transcription subunit MED8 isoform 2
cg10548978	C10orf27	chromosome 10 open reading frame 27
cg10549188	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family; member E
cg10549973	UNQ9438	hypothetical protein LOC387990
cg10551759	FAM3C	predicted osteoblast protein
cg10552385	RB1	retinoblastoma 1
cg10553028	CMTM8	CKLF-like MARVEL transmembrane domain containing 8
cg10556064	SMPD3	sphingomyelin phosphodiesterase 3; neutral membrane
cg10557828	PLOD2	procollagen-lysine; 2-oxoglutarate 5-dioxygenase 2 isoform a precursor
cg10559803	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2 isoform 2
cg10560038	CMTM5	chemokine-like factor superfamily 5 isoform a
cg10560144	PGK1	phosphoglycerate kinase 1
cg10561472	ZBTB7A	zinc finger and BTB domain containing 7A
cg10562586	MAP2	microtubule-associated protein 2 isoform 2
cg10563284	PAK6	p21-activated kinase 6
cg10564498	AXL	AXL receptor tyrosine kinase isoform 1
cg10566677	GLMN	glomulin isoform FAP68
cg10568796	PIK4CA	phosphatidylinositol 4-kinase; catalytic; alpha polypeptide isoform 2
cg10568944	MUT	methylmalonyl Coenzyme A mutase precursor
cg10569414	C21orf121	hypothetical protein LOC150142
cg10569616	POT1	protection of telomeres 1
cg10570177	C9orf7	hypothetical protein LOC11094
cg10573763	COPE	epsilon subunit of coatomer protein complex isoform a
cg10574499	UNQ2446	hypothetical protein LOC123904
cg10575414	RTDR1	rhabdoid tumor deletion region protein 1
cg10575735	SSX4	synovial sarcoma; X breakpoint 4 isoform a
cg10575841	TMED7	transmembrane emp24 protein transport domain containing 7
cg10576828	LRRC7	leucine rich repeat containing 7
cg10578779	ZBTB37	zinc finger and BTB domain containing 37
cg10579246	MGC15763	hypothetical protein LOC92106
cg10581256	ZNF11B	zinc finger protein 11B
cg10583097	RBM15B	RNA binding motif protein 15B
cg10583382	IMMP1L	hypothetical protein LOC196294
cg10583632	ZNF624	zinc finger protein 624
cg10584819	HPRT1	hypoxanthine phosphoribosyltransferase 1
cg10585462	C4orf7	chromosome 4 open reading frame 7
cg10585962	MOGAT2	monoacylglycerol O-acyltransferase 2
cg10586599	ORC1L	origin recognition complex; subunit 1
cg10586756	NUP93	nucleoporin 93kDa
cg10588377	HTRA1	HtrA serine peptidase 1
cg10590292	BIN2	bridging integrator 2
cg10591174	MYL2	myosin light chain 2
cg10591659	NYX	nyctalopin
cg10593493	HOXC6	homeobox C6 isoform 1
cg10594105	C19orf37	hypothetical protein LOC126299
cg10599444	MMP14	matrix metalloproteinase 14 preproprotein
cg10601002	NOC4L	nucleolar complex associated 4 homolog
cg10601168	CNKSR3	CNKSR family member 3
cg10601939	ARL5B	ADP-ribosylation factor-like 8
cg10602543	H19	
cg10604168	RASL12	RAS-like; family 12 protein
cg10604333	ZNF222	zinc finger protein 222
cg10604646	RGS5	regulator of G-protein signalling 5
cg10604703	WDR5	WD repeat domain 5
cg10605520	HRH3	histamine receptor H3
cg10608333	HIST1H4K	H4 histone family; member D
cg10608341	HESX1	homeo box (expressed in ES cells) 1
cg10609615	TRAP1	TNF receptor-associated protein 1
cg10612997	GREB1	GREB1 protein isoform a
cg10613381	UPB1	beta-ureidopropionase
cg10613440	SUCLA2	succinate-CoA ligase; ADP-forming; beta subunit
cg10615091	FAM13C1	hypothetical protein LOC220965 isoform 2
cg10617171	SCN1B	sodium channel; voltage-gated; type I; beta isoform a
cg10618882	LRRC25	leucine rich repeat containing 25
cg10620457	C8B	complement component 8; beta polypeptide preproprotein
cg10624445	CNGB1	cyclic nucleotide gated channel beta 1
cg10624583	TENC1	tensin like C1 domain containing phosphatase isoform 1
cg10624768	DNAJA1	DnaJ (Hsp40) homolog; subfamily A; member 1
cg10627136	HINT1	histidine triad nucleotide binding protein 1
cg10628098	SCYL1	SCY1-like 1
cg10631471	ABCC11	ATP-binding cassette; sub-family C; member 11 isoform a
cg10633491	ZBTB7A	zinc finger and BTB domain containing 7A
cg10634115	UTS2R	urotensin 2 receptor
cg10634217	MRPL18	mitochondrial ribosomal protein L18
cg10634358	NSDHL	NAD(P) dependent steroid dehydrogenase-like
cg10634424	LUM	lumican precursor
cg10634551	KCNMB2	calcium-activated potassium channel beta 2 subunit
cg10635061	FHL2	four and a half LIM domains 2 isoform 3
cg10636246	AIM2	absent in melanoma 2
cg10637955	BZW1	basic leucine zipper and W2 domains 1
cg10639440	SCRN1	secernin 1
cg10640379	LARP2	La ribonucleoprotein domain family member 2 isoform 2
cg10642330	NNAT	neuronatin isoform alpha
cg10643489	RQCD1	RCD1 required for cell differentiation1 homolog
cg10644361	MIPOL1	mirror-image polydactyly 1
cg10644878	LYPLA1	lysophospholipase I
cg10645113	LOC349236	hypothetical protein LOC349236
cg10645943	STRA13	hypothetical protein LOC201254
cg10646402	PTPRO	receptor-type protein tyrosine phosphatase O isoform b precursor
cg10647513	HBA1	alpha 1 globin
cg10648113	SULT1B1	sulfotransferase family; cytosolic; 1B; member 1
cg10648908	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3
cg10652277	SLC30A9	solute carrier family 30 (zinc transporter); member 9
cg10654016	C12orf31	hypothetical protein LOC84298
cg10660136	MGC43122	hypothetical protein LOC151477
cg10660256	BHMT	betaine-homocysteine methyltransferase
cg10661591	TFG	TRK-fused gene
cg10662787	LGTN	ligatin
cg10663017	DUSP23	dual specificity phosphatase 23
cg10663973	MRFAP1	Mof4 family associated protein 1
cg10664272	CAPG	gelsolin-like capping protein
cg10665018	ZNF688	zinc finger protein 688 isoform a
cg10667970	FBXO6	F-box only protein 6
cg10669058	CILP2	cartilage intermediate layer protein 2
cg10670077	INSR	insulin receptor
cg10671066	SLAMF6	activating NK receptor precursor
cg10671802	MGC23280	hypothetical protein LOC147015
cg10673431	S100A11	S100 calcium binding protein A11 (calgizzarin)
cg10673984	PPM1D	protein phosphatase 1D
cg10674793	DVL3	dishevelled 3
cg10676060	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31 isoform 1
cg10677144	MYOM1	myomesin 1
cg10677787	DHRS4L2	dehydrogenase/reductase (SDR family) member 4 like 2
cg10681065	TFR2	transferrin receptor 2
cg10681137	ATPBD3	ATP binding domain 3
cg10681725	RPS23	ribosomal protein S23
cg10682057	ASAHL	N-acylsphingosine amidohydrolase-like protein
cg10683939	C16orf47	hypothetical protein LOC388289
cg10685945	HMFN0839	hypothetical protein LOC84803
cg10686044	SEL1L	sel-1 suppressor of lin-12-like
cg10688941	ASCC3L1	activating signal cointegrator 1 complex subunit 3-like 1
cg10688991	DLX3	distal-less homeobox 3
cg10689889	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog isoform a
cg10691006	MCM2	minichromosome maintenance protein 2
cg10691259	TRSPAP1	tRNA selenocysteine associated protein
cg10691387	IQCF2	hypothetical protein LOC389123
cg10692870	FN1	fibronectin 1 isoform 7 preproprotein
cg10693071	TRIM36	tripartite motif-containing 36 isoform 1
cg10694152	SLC15A1	solute carrier family 15 (oligopeptide transporter); member 1
cg10694914	POU2AF1	POU domain; class 2; associating factor 1
cg10694959	KPNA6	karyopherin alpha 6
cg10698222	FLJ10925	hypothetical protein LOC55262
cg10698549	SRRM1	serine/arginine repetitive matrix 1
cg10703331	TRIM24	transcriptional intermediary factor 1 alpha isoform b
cg10704545	GLRX2	glutaredoxin 2 isoform 1
cg10704923	HIST1H1T	H1 histone family; member T; testis-specific
cg10705251	ZNF683	zinc finger protein 683
cg10705800	CITED4	Cbp/p300-interacting transactivator; with Glu/Asp-rich carboxy-terminal domain; 4
cg10705951	TAOK2	TAO kinase 2 isoform 1
cg10707300	ZNF653	zinc finger protein 653
cg10707565	CUBN	cubilin
cg10708675	NQO1	NAD(P)H menadione oxidoreductase 1; dioxin-inducible isoform a
cg10708793	LGP2	hypothetical protein LOC79132
cg10708828	NFIL3	nuclear factor; interleukin 3 regulated
cg10708905	LRIG3	leucine-rich repeats and immunoglobulin-like domains 3
cg10709021	WRN	Werner syndrome protein
cg10710439	FLJ37549	hypothetical protein LOC163115
cg10712623	RARB	retinoic acid receptor; beta isoform 1
cg10713320	CLDND1	hypothetical protein LOC56650
cg10714284	HLA-DMB	major histocompatibility complex; class II; DM beta precursor
cg10715231	SOX30	SRY (sex determining region Y)-box 30 isoform a
cg10716163	MUM1	melanoma ubiquitous mutated protein
cg10716607	TOPORS	topoisomerase I binding; arginine/serine-rich
cg10719920	C21orf93	hypothetical protein LOC246704
cg10720654		
cg10722799	CLIC6	chloride intracellular channel 6
cg10723020	CREB1	cAMP responsive element binding protein 1 isoform A
cg10725344	UNQ1940	hypothetical protein LOC389558
cg10726357	TSCOT	thymic stromal co-transporter
cg10728503	MKS1	Meckel syndrome; type 1
cg10729531	TCFL5	transcription factor-like 5 protein
cg10730174	PRRX1	paired mesoderm homeobox 1 isoform pmx-1b
cg10730712	COL23A1	collagen; type XXIII; alpha 1
cg10731022	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3
cg10731149	CYBRD1	cytochrome b reductase 1
cg10732834	KIAA1632	hypothetical protein LOC57724
cg10734665	ATP10A	ATPase; Class V; type 10A
cg10735116	GPR89A	G protein-coupled receptor 89
cg10735607	TMEM109	hypothetical protein LOC79073
cg10737521	KIAA0676	hypothetical protein LOC23061 isoform a
cg10737625	THAP6	THAP domain containing 6
cg10740670	FNTB	farnesyltransferase; CAAX box; beta
cg10740965	CTNNBIP1	catenin; beta interacting protein 1
cg10741369	TRIM7	tripartite motif-containing 7 isoform 4
cg10741760	HTR6	5-hydroxytryptamine (serotonin) receptor 6
cg10742225	KRT13	keratin 13 isoform b
cg10742801	PRAP1	proline-rich acidic protein 1
cg10743104	PDPN	lung type-I cell membrane-associated glycoprotein isoform a
cg10746737	HLA-DRB5	major histocompatibility complex; class II; DR beta 5 precursor
cg10748867	C1orf33	ribosomal protein P0-like protein
cg10749011	ITGA6	integrin alpha chain; alpha 6
cg10749413	ABCA7	ATP-binding cassette; sub-family A; member 7 isoform a
cg10751811	CYP4Z1	cytochrome P450 4Z1
cg10752753	SLC45A2	membrane-associated transporter protein isoform a
cg10753073	UBE2U	hypothetical protein LOC148581
cg10753582	KIFAP3	kinesin-associated protein 3
cg10756887	C22orf15	hypothetical protein LOC150248
cg10757144	PCDHB15	protocadherin beta 15 precursor
cg10758292	DEFA1	defensin; alpha 1 preproprotein
cg10762132	SLC20A1	solute carrier family 20 (phosphate transporter); member 1
cg10762615	FBXW10	F-box and WD-40 domain protein 10
cg10763059	PTPN12	protein tyrosine phosphatase; non-receptor type 12
cg10763288	DHCR7	7-dehydrocholesterol reductase
cg10764357	BCAT1	branched chain aminotransferase 1; cytosolic
cg10766289	KRT1	keratin 1
cg10769011	FOXN1	forkhead box N1
cg10770524	SMA3	SMA3
cg10770529	ZNF274	zinc finger protein 274 isoform b
cg10771262	TCF21	transcription factor 21
cg10773309	BAI2	brain-specific angiogenesis inhibitor 2
cg10773869	GMCL1	germ cell-less
cg10774155	VKORC1L1	vitamin K epoxide reductase complex; subunit 1-like 1
cg10774440	LEFTY1	left-right determination; factor B preproprotein
cg10775273	CRYBA2	crystallin; beta A2
cg10777851	CD200	CD200 antigen isoform b
cg10778415	RSAFD1	radical S-adenosyl methionine and flavodoxin domains 1
cg10778619	KCNMB4	calcium-activated potassium channel beta 4 subunit
cg10779183	ELA3A	elastase 3A; pancreatic preproprotein
cg10780112	HEBP2	heme binding protein 2
cg10783042	HDAC6	histone deacetylase 6
